Episode: 206, Score: 247, Last 100 mean: 113.33000183105469
Episode: 207, Score: 206, Last 100 mean: 114.62999725341797
Episode: 208, Score: 76, Last 100 mean: 114.62000274658203
Episode: 209, Score: 102, Last 100 mean: 115.05000305175781
Episode: 210, Score: 44, Last 100 mean: 114.94999694824219
Episode: 211, Score: 190, Last 100 mean: 115.73999786376953
Episode: 212, Score: 113, Last 100 mean: 115.98999786376953
Episode: 213, Score: 155, Last 100 mean: 116.8499984741211
Episode: 214, Score: 79, Last 100 mean: 117.04000091552734
Episode: 215, Score: 54, Last 100 mean: 117.01000213623047
Episode: 216, Score: 44, Last 100 mean: 116.7699966430664
Episode: 217, Score: 78, Last 100 mean: 116.95999908447266
Episode: 218, Score: 214, Last 100 mean: 117.05999755859375
Episode: 219, Score: 103, Last 100 mean: 117.56999969482422
Episode: 220, Score: 59, Last 100 mean: 117.44000244140625
Episode: 221, Score: 82, Last 100 mean: 116.80999755859375
Episode: 222, Score: 59, Last 100 mean: 116.75
Episode: 223, Score: 59, Last 100 mean: 115.02999877929688
Episode: 224, Score: 84, Last 100 mean: 114.69999694824219
Episode: 225, Score: 75, Last 100 mean: 113.52999877929688
Episode: 226, Score: 62, Last 100 mean: 112.88999938964844
Episode: 227, Score: 126, Last 100 mean: 112.62999725341797
Episode: 228, Score: 210, Last 100 mean: 114.30000305175781
Episode: 229, Score: 104, Last 100 mean: 114.43000030517578
Episode: 230, Score: 91, Last 100 mean: 114.87999725341797
Episode: 231, Score: 49, Last 100 mean: 114.9000015258789
Episode: 232, Score: 67, Last 100 mean: 115.12000274658203
Episode: 233, Score: 60, Last 100 mean: 114.55999755859375
Episode: 234, Score: 84, Last 100 mean: 114.47000122070312
Episode: 235, Score: 158, Last 100 mean: 114.86000061035156
Episode: 236, Score: 110, Last 100 mean: 115.16999816894531
Episode: 237, Score: 187, Last 100 mean: 116.33000183105469
Episode: 238, Score: 222, Last 100 mean: 116.1500015258789
Episode: 239, Score: 161, Last 100 mean: 116.8499984741211
Episode: 240, Score: 62, Last 100 mean: 116.55000305175781
Episode: 241, Score: 168, Last 100 mean: 117.70999908447266
Episode: 242, Score: 64, Last 100 mean: 117.43000030517578
Episode: 243, Score: 110, Last 100 mean: 117.83000183105469
Episode: 244, Score: 47, Last 100 mean: 116.26000213623047
Episode: 245, Score: 95, Last 100 mean: 116.13999938964844
Episode: 246, Score: 61, Last 100 mean: 115.80000305175781
Episode: 247, Score: 183, Last 100 mean: 117.05999755859375
Episode: 248, Score: 64, Last 100 mean: 117.12000274658203
Episode: 249, Score: 154, Last 100 mean: 117.9000015258789
Episode: 250, Score: 79, Last 100 mean: 118.01000213623047
Episode: 251, Score: 43, Last 100 mean: 117.08999633789062
Episode: 252, Score: 85, Last 100 mean: 115.5999984741211
Episode: 253, Score: 114, Last 100 mean: 116.16999816894531
Episode: 254, Score: 71, Last 100 mean: 114.94000244140625
Episode: 255, Score: 58, Last 100 mean: 115.0
Episode: 256, Score: 164, Last 100 mean: 116.12000274658203
Episode: 257, Score: 292, Last 100 mean: 117.66999816894531
Episode: 258, Score: 169, Last 100 mean: 117.02999877929688
Episode: 259, Score: 347, Last 100 mean: 118.54000091552734
Episode: 260, Score: 192, Last 100 mean: 119.36000061035156
Episode: 261, Score: 61, Last 100 mean: 118.9000015258789
Episode: 262, Score: 43, Last 100 mean: 115.81999969482422
Episode: 263, Score: 74, Last 100 mean: 115.3499984741211
Episode: 264, Score: 55, Last 100 mean: 113.69999694824219
Episode: 265, Score: 152, Last 100 mean: 114.48999786376953
Episode: 266, Score: 102, Last 100 mean: 114.30999755859375
Episode: 267, Score: 217, Last 100 mean: 115.97000122070312
